step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
24651,2023-07-03 14:19:20.003486982,1,192.95,1.0,-0.09330700928926451,0.07183700928926906,0.0049999999999954525,0.01647
24654,2023-07-03 14:19:20.790503722,1,192.95,1.0,-0.07757783640862248,0.05079643640860315,0.010000000000019327,0.0167814
24656,2023-07-03 14:19:21.504592677,2,192.955,1.0,-0.18708093607110876,0.16063243607108943,0.010000000000019327,0.0164485
24659,2023-07-03 14:19:22.350707751,1,192.95,1.0,-0.05193281820429248,0.025398218204301576,0.009999999999990905,0.0165346
24665,2023-07-03 14:19:23.710982984,1,192.92,1.0,-0.2707621820430158,0.25398218204301576,0.0,0.01678
24670,2023-07-03 14:19:25.031984259,1,192.93,1.0,-0.28068758204300664,0.25398218204301576,0.009999999999990905,0.0167054
24671,2023-07-03 14:19:25.031984259,1,192.925,1.0,-0.291501782043026,0.25398218204301576,0.020000000000010232,0.0175196
24676,2023-07-03 14:19:25.031984259,2,192.92,1.0,-0.1645106910215181,0.12699109102150788,0.020000000000010232,0.0175196
24677,2023-07-03 14:19:25.031984259,2,192.92,1.0,-0.291501782043026,0.25398218204301576,0.020000000000010232,0.0175196
24678,2023-07-03 14:19:25.031984259,1,192.92,1.0,-0.2805630820430067,0.25398218204301576,0.009999999999990905,0.0165809
24683,2023-07-03 14:19:27.320470944,2,192.89,1.0,-0.28049258204303507,0.25398218204301576,0.010000000000019327,0.0165104
24684,2023-07-03 14:19:27.320504541,1,192.89,1.0,-0.051916818204320904,0.025398218204301576,0.010000000000019327,0.0165186
24685,2023-07-03 14:19:27.320530908,2,192.89,1.0,-0.19322825450153489,0.16654725450151556,0.010000000000019327,0.016681
24687,2023-07-03 14:19:28.010243317,1,192.9,1.0,-0.26825063251244163,0.25142953251244166,0.0,0.0168211
24688,2023-07-03 14:19:28.010243317,1,192.9,1.0,-0.15593287030934327,0.13911177030934327,0.0,0.0168211
24690,2023-07-03 14:19:28.010243317,1,192.9,1.0,-0.20532732742166687,0.18835822742166689,0.0,0.0169691
24697,2023-07-03 14:19:31.109480965,1,192.91,1.0,-0.1767486852452121,0.15025788524522118,0.009999999999990905,0.0164908
24701,2023-07-03 14:19:34.770222396,1,192.91,1.0,-0.356485112901373,0.3282173129013821,0.009999999999990905,0.0182678
24703,2023-07-03 14:19:34.770349343,1,192.91,1.0,-0.2007647968449835,0.1722590968449926,0.009999999999990905,0.0185057
24705,2023-07-03 14:19:34.770410252,2,192.91,1.0,-0.15509289102149879,0.12699109102150788,0.009999999999990905,0.0181018
24706,2023-07-03 14:19:34.770430453,2,192.91,1.0,-0.395826048680452,0.36805514868046113,0.009999999999990905,0.0177709
24707,2023-07-03 14:19:35.410197892,1,192.91,1.0,-0.23279050010106112,0.2063361001010702,0.009999999999990905,0.0164544
24708,2023-07-03 14:19:36.712014971,2,192.91,1.0,-0.28054898204300666,0.25398218204301576,0.009999999999990905,0.0165668
24713,2023-07-03 14:19:40.646972991,1,192.91,1.0,-0.04211011820430158,0.025398218204301576,0.0,0.0167119
24715,2023-07-03 14:19:42.356448331,2,192.91,1.0,-0.27066148204301577,0.25398218204301576,0.0,0.0166793
24719,2023-07-03 14:19:43.179076447,1,192.93,1.0,-0.27056198204301574,0.25398218204301576,0.0,0.0165798
24720,2023-07-03 14:19:43.179443109,1,192.93,1.0,-0.27073278204301576,0.25398218204301576,0.0,0.0167506
24722,2023-07-03 14:19:43.179443109,1,192.93,1.0,-0.28042708204300665,0.25398218204301576,0.009999999999990905,0.0164449
24728,2023-07-03 14:19:45.718329185,1,192.91,1.0,-0.2390304391672829,0.21249673916729198,0.009999999999990905,0.0165337
24731,2023-07-03 14:19:46.846321902,1,192.92,1.0,-0.1408634499528114,0.12442534995281139,0.0,0.0164381
24732,2023-07-03 14:19:46.846610181,1,192.92,1.0,-0.15319609083772776,0.13677359083772775,0.0,0.0164225
24733,2023-07-03 14:19:46.847302091,2,192.92,1.0,-0.14149654995281138,0.12442534995281139,0.0,0.0170712
24739,2023-07-03 14:19:48.918177386,2,192.93,1.0,-0.28081718204300665,0.25398218204301576,0.009999999999990905,0.016835
24742,2023-07-03 14:19:49.142529211,1,192.94,1.0,-0.2708822820430158,0.25398218204301576,0.0,0.0169001
24744,2023-07-03 14:19:49.142529211,2,192.94,1.0,-0.2708822820430158,0.25398218204301576,0.0,0.0169001
24745,2023-07-03 14:19:50.134533783,1,192.95,1.0,-0.2942772506154259,0.27706185061542593,0.0,0.0172154
24746,2023-07-03 14:19:50.134533783,2,192.95,1.0,-0.042613618204301575,0.025398218204301576,0.0,0.0172154
24749,2023-07-03 14:19:50.134533783,1,192.95,1.0,-0.042613618204301575,0.025398218204301576,0.0,0.0172154
24750,2023-07-03 14:19:50.134533783,2,192.95,1.0,-0.04185841820430158,0.025398218204301576,0.0,0.0164602
24755,2023-07-03 14:19:53.250799796,1,192.95,1.0,-0.2804048820430351,0.25398218204301576,0.010000000000019327,0.0164227
24756,2023-07-03 14:19:55.039664218,1,192.96,1.0,-0.38315398003511597,0.3564809800351251,0.009999999999990905,0.016673
24758,2023-07-03 14:19:57.510059267,2,192.96,1.0,-0.10698921803553563,0.08031621803554471,0.009999999999990905,0.016673
24759,2023-07-03 14:19:57.536794661,2,192.95,1.0,-0.06324680464465386,0.03591850464463453,0.010000000000019327,0.0173283
24760,2023-07-03 14:19:57.537034806,1,192.95,1.0,-0.1547615910215272,0.12699109102150788,0.010000000000019327,0.0177705
24762,2023-07-03 14:19:57.548661092,1,192.95,1.0,-0.10308865461292405,0.07619465461290473,0.010000000000019327,0.016894
24763,2023-07-03 14:19:58.079011077,2,192.95,1.0,-0.13106388482438194,0.11358428482438193,0.0,0.0174796
24767,2023-07-03 14:19:59.225611087,2,192.96,1.0,-0.27105858204301575,0.25398218204301576,0.0,0.0170764
24771,2023-07-03 14:20:00.011750367,1,192.97,1.0,-0.27105858204301575,0.25398218204301576,0.0,0.0170764
24775,2023-07-03 14:20:00.218205999,2,192.97,1.0,-0.09368686911272636,0.06719736911273545,0.009999999999990905,0.0164895
24777,2023-07-03 14:20:02.061957526,2,192.96,1.0,-0.05316080464463453,0.03591850464463453,0.0,0.0172423
24780,2023-07-03 14:20:03.672110798,2,192.97,1.0,-0.05194551820429248,0.025398218204301576,0.009999999999990905,0.0165473
24784,2023-07-03 14:20:08.789124289,2,192.97,1.0,-0.27107938204301574,0.25398218204301576,0.0,0.0170972
24785,2023-07-03 14:20:08.789124289,1,192.97,1.0,-0.17158853002946378,0.15449133002946377,0.0,0.0170972
24790,2023-07-03 14:20:08.793713016,2,192.98,1.0,-0.370077723835084,0.35284332383508404,0.0,0.0172344
24803,2023-07-03 14:20:13.986597303,1,192.99,1.0,-0.27121658204301574,0.25398218204301576,0.0,0.0172344
24805,2023-07-03 14:20:13.986597303,2,192.99,1.0,-0.27121658204301574,0.25398218204301576,0.0,0.0172344
24806,2023-07-03 14:20:13.986597303,1,192.99,1.0,-0.09685291803554472,0.08031621803554471,0.0,0.0165367
24808,2023-07-03 14:20:13.987042110,1,192.99,1.0,-0.27303053017994144,0.25650943017994143,0.0,0.0165211
24815,2023-07-03 14:20:14.470059968,1,192.99,1.0,-0.24415116964876388,0.22716856964876386,0.0,0.0169826
24820,2023-07-03 14:20:19.003757773,2,192.99,1.0,-0.2709647820430158,0.25398218204301576,0.0,0.0169826
